Topic,Characteristics,Total
Ethnic origin population,    Nova Scotian,0
Ethnic origin population,    Ontarian,0
Ethnic origin population,    Québécois,65
Ethnic origin population,    Other North American origins; n.i.e.,20
Ethnic origin population,  European origins,147000
Ethnic origin population,    British Isles origins,84155
Ethnic origin population,      Channel Islander,0
Ethnic origin population,      Cornish,0
Ethnic origin population,      English,48585
Ethnic origin population,      Irish,32300
Ethnic origin population,      Manx,50
Ethnic origin population,      Scottish,38685
Ethnic origin population,      Welsh,4075
Ethnic origin population,      British Isles origins; n.i.e.,4320
Ethnic origin population,    French origins,22150
Ethnic origin population,      Alsatian,10
Ethnic origin population,      Breton,0
Ethnic origin population,      Corsican,0
Ethnic origin population,      French,22135
Ethnic origin population,    Western European origins (except French origins),67210
Ethnic origin population,      Austrian,6120
Ethnic origin population,      Bavarian,30
Ethnic origin population,      Belgian,1695
Ethnic origin population,      Dutch,5710
Ethnic origin population,      Flemish,135
Ethnic origin population,      Frisian,20
Ethnic origin population,      German,59290
Ethnic origin population,      Luxembourger,90
Ethnic origin population,      Swiss,695
Ethnic origin population,      Western European origins; n.i.e.,15
Ethnic origin population,    Northern European origins (except British Isles origins),18485
Ethnic origin population,      Danish,2170
Ethnic origin population,      Finnish,785
Ethnic origin population,      Icelandic,1385
Ethnic origin population,      Norwegian,10105
Ethnic origin population,      Swedish,5435
Ethnic origin population,      Northern European origins; n.i.e.,645
Ethnic origin population,    Eastern European origins,50080
Ethnic origin population,      Bulgarian,95
Ethnic origin population,      Byelorussian,140
Ethnic origin population,      Czech,1050
Ethnic origin population,      Czechoslovakian; n.o.s.,505
Ethnic origin population,      Estonian,30
Ethnic origin population,      Hungarian,8110
Ethnic origin population,      Latvian,135
Ethnic origin population,      Lithuanian,265
Ethnic origin population,      Moldovan,75
Ethnic origin population,      Polish,12425
Ethnic origin population,      Romanian,4640
Ethnic origin population,      Russian,7160
Ethnic origin population,      Slovak,330
Ethnic origin population,      Ukrainian,26560
Ethnic origin population,      Eastern European origins; n.i.e.,105
Ethnic origin population,    Southern European origins,8470
Ethnic origin population,      Albanian,300
Ethnic origin population,      Bosnian,170
Ethnic origin population,      Catalan,15
Ethnic origin population,      Croatian,675
Ethnic origin population,      Cypriot,20
Ethnic origin population,      Greek,1360
Ethnic origin population,      Italian,3300
Ethnic origin population,      Kosovar,15
Ethnic origin population,      Macedonian,20
Ethnic origin population,      Maltese,10
Ethnic origin population,      Montenegrin,30
Ethnic origin population,      Portuguese,330
Ethnic origin population,      Serbian,530
Ethnic origin population,      Sicilian,0
Ethnic origin population,      Slovenian,200
Ethnic origin population,      Spanish,1625
Ethnic origin population,      Yugoslavian; n.o.s.,340
Ethnic origin population,      Southern European origins; n.i.e.,30
Ethnic origin population,    Other European origins,1100
Ethnic origin population,      Basque,0
Ethnic origin population,      Jewish,630
Ethnic origin population,      Roma (Gypsy),30
Ethnic origin population,      Slavic; n.o.s.,25
Ethnic origin population,      Other European origins; n.i.e.,415
Ethnic origin population,  Caribbean origins,1460
Ethnic origin population,    Antiguan,0
Ethnic origin population,    Bahamian,0
Ethnic origin population,    Barbadian,40
Ethnic origin population,    Bermudan,10
Ethnic origin population,    Carib,0
Ethnic origin population,    Cuban,50
Ethnic origin population,    Dominican,25
Ethnic origin population,    Grenadian,30
Ethnic origin population,    Guadeloupean,0
Ethnic origin population,    Haitian,25
Ethnic origin population,    Jamaican,910
Ethnic origin population,    Kittitian/Nevisian,0
Ethnic origin population,    Martinican,0
Ethnic origin population,    Montserratan,0
Ethnic origin population,    Puerto Rican,15
Ethnic origin population,    St. Lucian,15
Ethnic origin population,    Trinidadian/Tobagonian,140
Ethnic origin population,    Vincentian/Grenadinian,15
Ethnic origin population,    West Indian; n.o.s.,130
Ethnic origin population,    Caribbean origins; n.i.e.,65
Ethnic origin population,  Latin; Central and South American origins,1745
Ethnic origin population,    Aboriginal from Central/South America (except Arawak and Maya),55
Ethnic origin population,    Arawak,0
Ethnic origin population,    Argentinian,40
Ethnic origin population,    Belizean,0
Ethnic origin population,    Bolivian,0
Ethnic origin population,    Brazilian,95
Ethnic origin population,    Chilean,375
Ethnic origin population,    Colombian,85
Ethnic origin population,    Costa Rican,10
Ethnic origin population,    Ecuadorian,15
Ethnic origin population,    Guatemalan,100
Ethnic origin population,    Guyanese,45
Ethnic origin population,    Hispanic,60
Ethnic origin population,    Honduran,20
Ethnic origin population,    Maya,30
Ethnic origin population,    Mexican,460
Ethnic origin population,    Nicaraguan,45
Ethnic origin population,    Panamanian,10
Ethnic origin population,    Paraguayan,10
Ethnic origin population,    Peruvian,65
Ethnic origin population,    Salvadorean,230
Ethnic origin population,    Uruguayan,15
Ethnic origin population,    Venezuelan,25
Ethnic origin population,    Latin; Central and South American origins; n.i.e.,115
Ethnic origin population,  African origins,6610
Ethnic origin population,    Central and West African origins,2065
Ethnic origin population,      Akan,105
Ethnic origin population,      Angolan,0
Ethnic origin population,      Ashanti,10
Ethnic origin population,      Beninese,10
Ethnic origin population,      Burkinabe,15
Ethnic origin population,      Cameroonian,35
Ethnic origin population,      Chadian,0
Ethnic origin population,      Congolese,280
Ethnic origin population,      Edo,0
Ethnic origin population,      Ewe,0
Ethnic origin population,      Gabonese,0
Ethnic origin population,      Gambian,0
Ethnic origin population,      Ghanaian,205
Ethnic origin population,      Guinean,0
Ethnic origin population,      Ibo,245
Ethnic origin population,      Ivorian,40
Ethnic origin population,      Liberian,35
Ethnic origin population,      Malian,20
Ethnic origin population,      Malinké,0
Ethnic origin population,      Nigerian,955
Ethnic origin population,      Peulh,0
Ethnic origin population,      Senegalese,0
Ethnic origin population,      Sierra Leonean,15
Ethnic origin population,      Togolese,10
Ethnic origin population,      Wolof,0
Ethnic origin population,      Yoruba,210
Ethnic origin population,      Central and West African origins; n.i.e.,115
Ethnic origin population,    North African origins,850
Ethnic origin population,      Algerian,60
Ethnic origin population,      Berber,30
Ethnic origin population,      Coptic,0
Ethnic origin population,      Dinka,15
Ethnic origin population,      Egyptian,225
Ethnic origin population,      Libyan,140
Ethnic origin population,      Maure,0
Ethnic origin population,      Moroccan,65
Ethnic origin population,      Sudanese,285
